Date,Close,High,Low,Open,Volume
04/01/00,755.7999877929688,786.2700195,754.7399902,786.2700195,0
05/01/00,757.0900268554688,762.2100219726562,742.8200073242188,755.7999877929688,0
06/01/00,756.7299805,761.9600219726562,751.5900268554688,757.0900268554688,0
07/01/00,777.25,777.25,755.4600219726562,756.7299805,0
10/01/00,789.2800293,792.4299926757812,777.25,777.25,0
11/01/00,777.6500244140625,789.7600098,775.7399902,789.2800293,0
12/01/00,774.6699829101562,780.3400268554688,771.6500244140625,777.6500244140625,0
13/01/00,786.2800293,788.0100098,774.6699829101562,774.6699829101562,0
14/01/00,795.5300293,799.2999877929688,786.2800293,786.2800293,0
18/01/00,791.3200073242188,795.6400146484375,788.9899902,795.5300293,0
19/01/00,793.8400268554688,796.0900268554688,788.1599731445312,791.3200073242188,0
20/01/00,790.5,799.5599975585938,785.7700195,793.8400268554688,0
21/01/00,790.3099975585938,794.8099975585938,787.8800048828125,790.5,0
24/01/00,769.4199829101562,797.3400268554688,766.4600219726562,790.3099975585938,0
25/01/00,773.1199951171875,774.2299805,761.1500244140625,769.4199829101562,0
26/01/00,769.9299926757812,775.1199951171875,768.8800048828125,773.1199951171875,0
27/01/00,767.2600098,778.6799926757812,753.4799805,769.9299926757812,0
28/01/00,746.8800048828125,767.2600098,744.4899902,767.2600098,0
31/01/00,761.7299805,761.7399902,738.5499877929688,746.8800048828125,0
01/02/00,770.8499755859375,772.1300048828125,756.5100098,761.7299805,0
02/02/00,771.5399780273438,777.4899902,768.7800293,770.8499755859375,0
03/02/00,781.3099975585938,781.4600219726562,767.3099975585938,771.5399780273438,0
04/02/00,780.7999877929688,787.1699829101562,771.1500244140625,781.3099975585938,0
07/02/00,782.6900024414062,782.8300170898438,776.6500244140625,780.7999877929688,0
08/02/00,791.8699951171875,791.8800048828125,782.6900024414062,782.6900024414062,0
09/02/00,776.6500244140625,793.6199951171875,776.6300048828125,791.8599853515625,0
10/02/00,780.1300048828125,782.5300293,774.3200073242188,776.6699829101562,0
11/02/00,765.3599853515625,780.2000122070312,760.9899902,780.1300048828125,0
14/02/00,766.8499755859375,769.4799805,761.4600219726562,765.3599853515625,0
15/02/00,772.4799805,775.2299805,758.9299926757812,766.8599853515625,0
16/02/00,767.1300048828125,775.25,766.0499877929688,772.4799805,0
17/02/00,769.5999755859375,773.9699707,764.7800293,767.1300048828125,0
18/02/00,747.8900146484375,770.0700073242188,747.0100098,769.5999755859375,0
22/02/00,750.4899902,753.1199951171875,738.9500122070312,747.8900146484375,0
23/02/00,757.9899902,762.5300293,747.2899780273438,750.4899902,0
24/02/00,757.4500122070312,761.8200073242188,743.9899902,758,0
25/02/00,747.9600219726562,762.7999877929688,746.0700073242188,757.4500122070312,0
28/02/00,754.6599731445312,761.2899780273438,742.25,747.9600219726562,0
29/02/00,767.7199707,768.4799805,754.6599731445312,754.6599731445312,0
01/03/00,775.8900146484375,778,767.7199707,767.7199707,0
02/03/00,775.7399902,778.6900024414062,769.2299805,775.8900146484375,0
03/03/00,792.3900146484375,792.3900146484375,775.7299805,775.7299805,0
06/03/00,785.0999755859375,793.8900146484375,781.5300293,792.5499877929688,0
07/03/00,766.3400268554688,790.0499877929688,763.4600219726562,785.1699829101562,0
08/03/00,771.2199707,773.8800048828125,758.2299805,766.3400268554688,0
09/03/00,789.8800048828125,789.9400024414062,766.3400268554688,771.2399902,0
10/03/00,786.5499877929688,796.9699707,785.5,789.8200073242188,0
13/03/00,777.2199707,786.6500244140625,768.0100098,786.5499877929688,0
14/03/00,761.4799805,785.1599731445312,761.4799805,777.2199707,0
15/03/00,773.5900268554688,777.0100098,758.7800293,761.4799805,0
16/03/00,810.4600219726562,810.4600219726562,773.5800170898438,773.5800170898438,0
17/03/00,814.1599731445312,820.3300170898438,807.1500244140625,810.4600219726562,0
20/03/00,804.7999877929688,816.5800170898438,801.7600098,814.1599731445312,0
21/03/00,823.7299805,823.75,795.6900024414062,804.7999877929688,0
22/03/00,831.4899902,833.75,823.2299805,823.7700195,0
23/03/00,844.7000122070312,847.3800048828125,827.3499755859375,831.4799805,0
24/03/00,844.7800293,858.4799805,838.3699951171875,844.7000122070312,0
27/03/00,842.5599975585938,849.4199829101562,839.9799805,844.7800293,0
28/03/00,832.4000244140625,843.4299926757812,832.1500244140625,842.5599975585938,0
29/03/00,828.0300293,837.6400146484375,823.1799926757812,832.4000244140625,0
30/03/00,816.5999755859375,833.8499755859375,808.5200195,828.0300293,0
31/03/00,826.0300293,835.2000122070312,813.7800293,816.5999755859375,0
03/04/00,822.8200073242188,829.3099975585938,817.5599975585938,826.0200195,0
04/04/00,815.2100219726562,833,768.2100219726562,822.8200073242188,0
05/04/00,814.3599853515625,825.5700073242188,804.1699829101562,815.2100219726562,0
06/04/00,824.0700073242188,829.3800048828125,814.3900146484375,814.3900146484375,0
07/04/00,833.7600098,834.1199951171875,824.0399780273438,824.0399780273438,0
10/04/00,822.2999877929688,838.2299805,822.2899780273438,833.7600098,0
11/04/00,818.2299805,826.5599975585938,810.3800048828125,822.2999877929688,0
