Date,IAI,IAK,IAT,IBB,IDGT,IDU,IEO,IEZ,IGM,IGV,IHE,IHF,IHI,ITA,ITB,IYC,IYE,IYF,IYG,IYH,IYJ,IYK,IYM,IYT,IYW,IYZ,SOXX
2015-02-02,32.93239212036133,38.55809020996094,25.07894515991211,104.103759765625,32.93393325805664,45.22699737548828,56.80817794799805,39.81455612182617,15.635541915893555,17.739797592163086,44.265262603759766,21.56177520751953,18.153921127319336,52.028438568115234,23.963891983032227,31.277009963989258,30.79070472717285,36.23984146118164,23.97420883178711,25.66437530517578,46.168365478515625,27.58456039428711,67.39070892333984,34.92060470581055,23.602144241333008,22.694889068603516,26.460742950439453
2015-02-03,33.71728515625,39.215091705322266,25.538837432861328,103.52067565917969,33.409889221191406,45.47275924682617,58.56058883666992,41.250511169433594,15.83757209777832,18.037744522094727,44.516868591308594,21.7952823638916,18.361793518066406,52.884429931640625,24.435256958007812,31.848146438598633,31.686433792114258,36.84851837158203,24.471254348754883,25.821210861206055,47.01140594482422,27.89503288269043,69.12210845947266,35.43064498901367,23.860788345336914,23.25582504272461,26.929636001586914
2015-02-04,33.90296936035156,39.31365203857422,25.492830276489258,101.8137435913086,33.167259216308594,44.876991271972656,57.44470977783203,40.048309326171875,15.845473289489746,18.088706970214844,44.093727111816406,21.89664649963379,18.296735763549805,52.65139389038086,24.840621948242188,32.071533203125,31.133590698242188,36.82332992553711,24.42324447631836,25.4778995513916,46.609737396240234,27.873809814453125,68.57844543457031,35.36855697631836,23.898069381713867,23.21686553955078,27.031179428100586
2015-02-05,34.46001434326172,39.469688415527344,25.90673828125,104.21127319335938,33.661865234375,45.297760009765625,58.482017517089844,40.92491149902344,16.02225112915039,18.357257843017578,45.623348236083984,22.045076370239258,18.552227020263672,53.068199157714844,24.699222564697266,32.23966598510742,31.623437881469727,37.23471450805664,24.750844955444336,25.927522659301758,47.12617111206055,28.04098129272461,70.2763671875,35.69010925292969,24.103124618530273,23.481765747070312,27.293989181518555
2015-02-06,35.03392791748047,39.68320846557617,26.335966110229492,102.80406188964844,33.75518035888672,43.44712448120117,58.4662971496582,41.06683349609375,15.96226692199707,18.23964500427246,45.39175796508789,21.883983612060547,18.37925148010254,53.556705474853516,25.13286590576172,32.16827392578125,31.630443572998047,37.31446838378906,25.086915969848633,25.685287475585938,47.09526824951172,27.88707160949707,70.10909271240234,35.55704116821289,24.00991439819336,23.58304214477539,27.144664764404297
2015-02-09,34.68788146972656,39.576446533203125,26.08302116394043,102.09390258789062,33.8858528137207,43.05242156982422,58.38771057128906,41.7347297668457,15.933859825134277,18.14751625061035,45.185909271240234,21.663143157958984,18.10472297668457,53.16679000854492,25.217716217041016,31.9886417388916,31.686433792114258,37.1507568359375,24.99372100830078,25.394262313842773,47.046714782714844,27.735807418823242,70.12582397460938,35.20445251464844,23.972631454467773,23.56746482849121,26.857959747314453
2015-02-10,35.08456802368164,39.75713348388672,26.251644134521484,103.67378997802734,34.333797454833984,43.90140914916992,58.403419494628906,40.824745178222656,16.156408309936523,18.331775665283203,45.88069152832031,22.09213638305664,18.328475952148438,53.46706771850586,25.547666549682617,32.410091400146484,31.595449447631836,37.36064147949219,25.160341262817383,25.798559188842773,47.36450958251953,28.075483322143555,70.29310607910156,35.499393463134766,24.37808609008789,23.785608291625977,27.7658634185791
2015-02-11,35.10988235473633,40.093841552734375,26.11368179321289,103.34475708007812,34.43646240234375,42.981666564941406,58.018375396728516,40.415653228759766,16.19744110107422,18.37097930908203,45.9521598815918,22.38536834716797,18.33164405822754,53.41775894165039,25.396827697753906,32.44923400878906,31.399507522583008,37.385833740234375,25.134931564331055,25.842124938964844,47.40864181518555,28.186933517456055,70.17601013183594,35.605831146240234,24.468955993652344,23.863513946533203,27.855466842651367
2015-02-12,35.6416015625,40.18418502807617,26.64254379272461,104.37743377685547,35.05238342285156,42.825286865234375,58.82777404785156,40.607662200927734,16.462610244750977,18.67088508605957,46.34671401977539,22.378129959106445,18.457014083862305,53.88833999633789,25.915319442749023,32.72099685668945,31.8543758392334,37.801414489746094,25.513364791870117,25.929262161254883,47.880943298339844,28.32757568359375,71.34698486328125,35.880821228027344,24.872079849243164,23.988170623779297,28.300464630126953
2015-02-13,35.481239318847656,40.49626541137695,26.70386505126953,105.36771392822266,35.32300567626953,42.18854522705078,60.34442901611328,41.89335632324219,16.59678077697754,18.92963409423828,46.74127960205078,22.323827743530273,18.60618019104004,54.26034164428711,25.934173583984375,32.898319244384766,32.5191650390625,37.78464126586914,25.50771141052246,26.07564926147461,48.176639556884766,28.30369758605957,72.04122924804688,35.97618865966797,25.091108322143555,24.0816593170166,28.50055503845215
2015-02-17,35.633155822753906,40.67694854736328,26.803508758544922,106.46224212646484,35.267032623291016,42.11777877807617,60.47803497314453,42.62803268432617,16.57468032836914,18.89435577392578,47.224464416503906,22.441484451293945,18.717262268066406,54.1617317199707,26.075584411621094,32.877593994140625,32.57514572143555,37.89377212524414,25.61785888671875,26.23422622680664,48.18989944458008,28.274503707885742,72.05793762207031,36.01165771484375,25.095766067504883,24.073871612548828,28.590150833129883
2015-02-18,35.36309051513672,40.446983337402344,26.39727210998535,107.30917358398438,35.416351318359375,43.13433074951172,59.786495208740234,42.3525390625,16.587308883666992,18.974716186523438,47.23591995239258,22.441484451293945,18.848970413208008,54.60542297363281,26.056730270385742,32.92135238647461,32.16228103637695,37.71746826171875,25.366514205932617,26.29174041748047,48.46354675292969,28.38861656188965,72.09980010986328,36.140281677246094,25.142372131347656,23.871305465698242,28.515491485595703
