Date,Ticker,Close
01/01/2010,PUWLEMUINDXD,57.28
01/02/2010,PUWLEMUINDXD,122.78
01/03/2010,PUWLEMUINDXD,78.56
01/04/2010,PUWLEMUINDXD,114.26
01/05/2010,PUWLEMUINDXD,16.2
01/06/2010,PUWLEMUINDXD,6
01/07/2010,PUWLEMUINDXD,30.9
01/08/2010,PUWLEMUINDXD,19.61
01/09/2010,PUWLEMUINDXD,113.65
01/10/2010,PUWLEMUINDXD,51.36
01/11/2010,PUWLEMUINDXD,48.54
01/12/2010,PUWLEMUINDXD,15.31
01/13/2010,PUWLEMUINDXD,11.8
01/14/2010,PUWLEMUINDXD,46.95
01/15/2010,PUWLEMUINDXD,43.36
01/16/2010,PUWLEMUINDXD,59.51
01/17/2010,PUWLEMUINDXD,8.44
01/18/2010,PUWLEMUINDXD,10.05
01/19/2010,PUWLEMUINDXD,16.18
01/20/2010,PUWLEMUINDXD,119.63
01/21/2010,PUWLEMUINDXD,103.9
01/22/2010,PUWLEMUINDXD,87.24
01/23/2010,PUWLEMUINDXD,105.71
01/24/2010,PUWLEMUINDXD,64.91
01/25/2010,PUWLEMUINDXD,264.44
01/26/2010,PUWLEMUINDXD,39.15
01/27/2010,PUWLEMUINDXD,30.14
01/28/2010,PUWLEMUINDXD,71.38
01/29/2010,PUWLEMUINDXD,32.57
01/30/2010,PUWLEMUINDXD,62.16
01/31/2010,PUWLEMUINDXD,16.92
02/01/2010,PUWLEMUINDXD,29.04
02/02/2010,PUWLEMUINDXD,46.36
02/03/2010,PUWLEMUINDXD,68.29
02/04/2010,PUWLEMUINDXD,10.09
02/05/2010,PUWLEMUINDXD,37.8
02/06/2010,PUWLEMUINDXD,9.91
02/07/2010,PUWLEMUINDXD,8.31
02/08/2010,PUWLEMUINDXD,58.74
02/09/2010,PUWLEMUINDXD,45.14
02/10/2010,PUWLEMUINDXD,24.07
02/11/2010,PUWLEMUINDXD,41.87
02/12/2010,PUWLEMUINDXD,25.16
02/13/2010,PUWLEMUINDXD,19.85
02/14/2010,PUWLEMUINDXD,47.17
02/15/2010,PUWLEMUINDXD,60.68
02/16/2010,PUWLEMUINDXD,15.89
02/17/2010,PUWLEMUINDXD,11.96
02/18/2010,PUWLEMUINDXD,30.14
02/19/2010,PUWLEMUINDXD,31.42
02/20/2010,PUWLEMUINDXD,50.62
02/21/2010,PUWLEMUINDXD,8.06
02/22/2010,PUWLEMUINDXD,39.31
02/23/2010,PUWLEMUINDXD,37.07
02/24/2010,PUWLEMUINDXD,11.38
02/25/2010,PUWLEMUINDXD,10.36
02/26/2010,PUWLEMUINDXD,6.19
02/27/2010,PUWLEMUINDXD,37.6
02/28/2010,PUWLEMUINDXD,31.17
03/01/2010,PUWLEMUINDXD,28.76
03/02/2010,PUWLEMUINDXD,22.61
03/03/2010,PUWLEMUINDXD,11.59
03/04/2010,PUWLEMUINDXD,9.92
03/05/2010,PUWLEMUINDXD,6.11
03/06/2010,PUWLEMUINDXD,37.96
03/07/2010,PUWLEMUINDXD,7.96
03/08/2010,PUWLEMUINDXD,9.44
03/09/2010,PUWLEMUINDXD,37.88
03/10/2010,PUWLEMUINDXD,46.93
03/11/2010,PUWLEMUINDXD,39.3
03/12/2010,PUWLEMUINDXD,48.32
03/13/2010,PUWLEMUINDXD,38.9
03/14/2010,PUWLEMUINDXD,7.99
03/15/2010,PUWLEMUINDXD,9.77
03/16/2010,PUWLEMUINDXD,7.71
03/17/2010,PUWLEMUINDXD,5.98
03/18/2010,PUWLEMUINDXD,39.34
03/19/2010,PUWLEMUINDXD,37.12
03/20/2010,PUWLEMUINDXD,68.79
03/21/2010,PUWLEMUINDXD,32.78
03/22/2010,PUWLEMUINDXD,130.09
03/23/2010,PUWLEMUINDXD,39.02
03/24/2010,PUWLEMUINDXD,18.33
03/25/2010,PUWLEMUINDXD,24.86
03/26/2010,PUWLEMUINDXD,12.7
03/27/2010,PUWLEMUINDXD,79.77
03/28/2010,PUWLEMUINDXD,23.69
03/29/2010,PUWLEMUINDXD,29.96
03/30/2010,PUWLEMUINDXD,7.89
03/31/2010,PUWLEMUINDXD,62.1
04/01/2010,PUWLEMUINDXD,82.38
04/02/2010,PUWLEMUINDXD,12.85
04/03/2010,PUWLEMUINDXD,145.65
04/04/2010,PUWLEMUINDXD,16.86
04/05/2010,PUWLEMUINDXD,30.99
04/06/2010,PUWLEMUINDXD,15.23
04/07/2010,PUWLEMUINDXD,6
04/08/2010,PUWLEMUINDXD,4.99
04/09/2010,PUWLEMUINDXD,25.06
04/10/2010,PUWLEMUINDXD,29.7
04/11/2010,PUWLEMUINDXD,40.82
04/12/2010,PUWLEMUINDXD,29.99
04/13/2010,PUWLEMUINDXD,37.91
04/14/2010,PUWLEMUINDXD,18.18
04/15/2010,PUWLEMUINDXD,28.93
04/16/2010,PUWLEMUINDXD,74
04/17/2010,PUWLEMUINDXD,66.76
04/18/2010,PUWLEMUINDXD,33.04
04/19/2010,PUWLEMUINDXD,49.01
04/20/2010,PUWLEMUINDXD,57.51
04/21/2010,PUWLEMUINDXD,5.88
04/22/2010,PUWLEMUINDXD,4.9
04/23/2010,PUWLEMUINDXD,11.99
04/24/2010,PUWLEMUINDXD,48.26
04/25/2010,PUWLEMUINDXD,24.23
04/26/2010,PUWLEMUINDXD,28.02
04/27/2010,PUWLEMUINDXD,28.44
04/28/2010,PUWLEMUINDXD,11.15
04/29/2010,PUWLEMUINDXD,9.59
04/30/2010,PUWLEMUINDXD,11.98
05/01/2010,PUWLEMUINDXD,18.99
05/02/2010,PUWLEMUINDXD,16.07
05/03/2010,PUWLEMUINDXD,58.63
05/04/2010,PUWLEMUINDXD,52.35
05/05/2010,PUWLEMUINDXD,51.39
05/06/2010,PUWLEMUINDXD,101.92
05/07/2010,PUWLEMUINDXD,136.22
05/08/2010,PUWLEMUINDXD,147.09
05/09/2010,PUWLEMUINDXD,40.33
05/10/2010,PUWLEMUINDXD,29.37
05/11/2010,PUWLEMUINDXD,22.22
05/12/2010,PUWLEMUINDXD,45.45
05/13/2010,PUWLEMUINDXD,4.8
05/14/2010,PUWLEMUINDXD,5.98
05/15/2010,PUWLEMUINDXD,57.53
05/16/2010,PUWLEMUINDXD,55.04
05/17/2010,PUWLEMUINDXD,27.99
05/18/2010,PUWLEMUINDXD,20.93
05/19/2010,PUWLEMUINDXD,52.04
05/20/2010,PUWLEMUINDXD,81.54
05/21/2010,PUWLEMUINDXD,53.37
05/22/2010,PUWLEMUINDXD,28.95
05/23/2010,PUWLEMUINDXD,39.64
05/24/2010,PUWLEMUINDXD,115.98
05/25/2010,PUWLEMUINDXD,49.84
05/26/2010,PUWLEMUINDXD,69.26
05/27/2010,PUWLEMUINDXD,34.61
05/28/2010,PUWLEMUINDXD,67.13
05/29/2010,PUWLEMUINDXD,69.89
05/30/2010,PUWLEMUINDXD,25.56
05/31/2010,PUWLEMUINDXD,43.57
06/01/2010,PUWLEMUINDXD,25.67
06/02/2010,PUWLEMUINDXD,24.14
06/03/2010,PUWLEMUINDXD,37.23
06/04/2010,PUWLEMUINDXD,37.86
06/05/2010,PUWLEMUINDXD,20.54
06/06/2010,PUWLEMUINDXD,25.34
06/07/2010,PUWLEMUINDXD,39.61
06/08/2010,PUWLEMUINDXD,109.47
06/09/2010,PUWLEMUINDXD,73.8
06/10/2010,PUWLEMUINDXD,26.33
06/11/2010,PUWLEMUINDXD,25.83
06/12/2010,PUWLEMUINDXD,30.84
06/13/2010,PUWLEMUINDXD,50.75
06/14/2010,PUWLEMUINDXD,70.24
06/15/2010,PUWLEMUINDXD,156.14
06/16/2010,PUWLEMUINDXD,96.73
06/17/2010,PUWLEMUINDXD,54.38
06/18/2010,PUWLEMUINDXD,6.62
06/19/2010,PUWLEMUINDXD,10.41
06/20/2010,PUWLEMUINDXD,24.44
06/21/2010,PUWLEMUINDXD,30.41
06/22/2010,PUWLEMUINDXD,39.25
06/23/2010,PUWLEMUINDXD,43.84
06/24/2010,PUWLEMUINDXD,40.88
06/25/2010,PUWLEMUINDXD,25.58
06/26/2010,PUWLEMUINDXD,51.07
06/27/2010,PUWLEMUINDXD,42.53
06/28/2010,PUWLEMUINDXD,64.61
06/29/2010,PUWLEMUINDXD,58.34
06/30/2010,PUWLEMUINDXD,63.45
07/01/2010,PUWLEMUINDXD,75.32
07/02/2010,PUWLEMUINDXD,28.4
07/03/2010,PUWLEMUINDXD,122.31
07/04/2010,PUWLEMUINDXD,55.2
07/05/2010,PUWLEMUINDXD,28.59
07/06/2010,PUWLEMUINDXD,106.25
07/07/2010,PUWLEMUINDXD,20.94
07/08/2010,PUWLEMUINDXD,51.03
07/09/2010,PUWLEMUINDXD,7.4
07/10/2010,PUWLEMUINDXD,129.67
07/11/2010,PUWLEMUINDXD,63.9
07/12/2010,PUWLEMUINDXD,63.64
07/13/2010,PUWLEMUINDXD,25.31
07/14/2010,PUWLEMUINDXD,48.42
07/15/2010,PUWLEMUINDXD,44.23
07/16/2010,PUWLEMUINDXD,27.99
07/17/2010,PUWLEMUINDXD,33.7
07/18/2010,PUWLEMUINDXD,44.98
07/19/2010,PUWLEMUINDXD,63.31
07/20/2010,PUWLEMUINDXD,76.19
07/21/2010,PUWLEMUINDXD,99.69
07/22/2010,PUWLEMUINDXD,33.41
07/23/2010,PUWLEMUINDXD,14.39
07/24/2010,PUWLEMUINDXD,76.64
07/25/2010,PUWLEMUINDXD,77.28
07/26/2010,PUWLEMUINDXD,203.2
07/27/2010,PUWLEMUINDXD,117.63
07/28/2010,PUWLEMUINDXD,44.56
07/29/2010,PUWLEMUINDXD,11.02
07/30/2010,PUWLEMUINDXD,7
07/31/2010,PUWLEMUINDXD,97.47
08/01/2010,PUWLEMUINDXD,155.18
08/02/2010,PUWLEMUINDXD,86.54
08/03/2010,PUWLEMUINDXD,58.82
08/04/2010,PUWLEMUINDXD,67.03
08/05/2010,PUWLEMUINDXD,148.69
08/06/2010,PUWLEMUINDXD,27.36
08/07/2010,PUWLEMUINDXD,108.32
08/08/2010,PUWLEMUINDXD,26.11
08/09/2010,PUWLEMUINDXD,32.63
08/10/2010,PUWLEMUINDXD,40.07
08/11/2010,PUWLEMUINDXD,127.25
08/12/2010,PUWLEMUINDXD,73.29
08/13/2010,PUWLEMUINDXD,229.84
08/14/2010,PUWLEMUINDXD,100.68
08/15/2010,PUWLEMUINDXD,79.81
08/16/2010,PUWLEMUINDXD,105.11
08/17/2010,PUWLEMUINDXD,17.48
08/18/2010,PUWLEMUINDXD,13.99
08/19/2010,PUWLEMUINDXD,39.11
08/20/2010,PUWLEMUINDXD,14.44
08/21/2010,PUWLEMUINDXD,206.46
08/22/2010,PUWLEMUINDXD,58.87
08/23/2010,PUWLEMUINDXD,34.86
08/24/2010,PUWLEMUINDXD,35.88
08/25/2010,PUWLEMUINDXD,47.22
08/26/2010,PUWLEMUINDXD,126.97
08/27/2010,PUWLEMUINDXD,70.33
08/28/2010,PUWLEMUINDXD,91.36
08/29/2010,PUWLEMUINDXD,114.26
08/30/2010,PUWLEMUINDXD,34.95
08/31/2010,PUWLEMUINDXD,206.04
09/01/2010,PUWLEMUINDXD,155.84
09/02/2010,PUWLEMUINDXD,16.58
09/03/2010,PUWLEMUINDXD,13.51
09/04/2010,PUWLEMUINDXD,87.83
09/05/2010,PUWLEMUINDXD,43.11
09/06/2010,PUWLEMUINDXD,77.26
09/07/2010,PUWLEMUINDXD,98.53
09/08/2010,PUWLEMUINDXD,13.45
09/09/2010,PUWLEMUINDXD,16.06
09/10/2010,PUWLEMUINDXD,33.5
09/11/2010,PUWLEMUINDXD,65.74
09/12/2010,PUWLEMUINDXD,33.04
09/13/2010,PUWLEMUINDXD,86.84
09/14/2010,PUWLEMUINDXD,62.37
09/15/2010,PUWLEMUINDXD,31.25
09/16/2010,PUWLEMUINDXD,32.26
09/17/2010,PUWLEMUINDXD,20.1
09/18/2010,PUWLEMUINDXD,66.59
09/19/2010,PUWLEMUINDXD,67.27
09/20/2010,PUWLEMUINDXD,123.81
09/21/2010,PUWLEMUINDXD,89.56
09/22/2010,PUWLEMUINDXD,13.18
09/23/2010,PUWLEMUINDXD,5.33
09/24/2010,PUWLEMUINDXD,19.92
09/25/2010,PUWLEMUINDXD,94.74
09/26/2010,PUWLEMUINDXD,33.09
09/27/2010,PUWLEMUINDXD,10.96
09/28/2010,PUWLEMUINDXD,66.77
09/29/2010,PUWLEMUINDXD,37.85
