Date,IAI,IAK,IAT,IBB,IDGT,IDU,IEO,IEZ,IGM,IGV,IHE,IHF,IHI,ITA,ITB,IYC,IYE,IYF,IYG,IYH,IYJ,IYK,IYM,IYT,IYW,IYZ,SOXX
2020-02-03,64.41259765625,65.0146255493164,40.584835052490234,114.18973541259766,51.67123031616211,75.15232849121094,39.89768600463867,15.45112419128418,41.641334533691406,50.113525390625,49.47179412841797,36.753929138183594,43.5352783203125,107.89529418945312,46.060935974121094,55.14250183105469,23.359525680541992,63.0440559387207,45.81758117675781,39.821533203125,79.38612365722656,40.446800231933594,84.23331451416016,44.60694885253906,60.134605407714844,25.70638656616211,78.14533233642578
2020-02-04,65.21469116210938,65.37487030029297,41.09341049194336,116.88133239746094,52.58637619018555,74.42552947998047,40.041160583496094,15.718639373779297,42.52714920043945,51.397621154785156,50.05608367919922,37.44641876220703,44.32527542114258,109.69902038574219,45.935638427734375,56.03997802734375,23.42601203918457,63.77125549316406,46.45100784301758,40.543304443359375,80.84956359863281,41.06561279296875,85.79354095458984,45.42460250854492,61.51726150512695,26.119447708129883,80.58717346191406
2020-02-05,65.67041015625,67.24812316894531,42.000389099121094,119.84895324707031,52.576744079589844,74.7519302368164,41.79676818847656,16.345905303955078,42.617042541503906,50.66413497924805,50.2396354675293,38.86384963989258,44.6337776184082,111.49323272705078,47.03439712524414,56.373809814453125,24.3234920501709,64.53968048095703,47.060081481933594,41.28763198852539,81.89622497558594,40.904964447021484,87.37201690673828,46.03785705566406,61.788902282714844,26.312793731689453,82.4439926147461
2020-02-06,65.26936340332031,67.42823791503906,41.568084716796875,120.74615478515625,52.509307861328125,74.76497650146484,41.11309814453125,15.930803298950195,42.97496032714844,51.12728500366211,50.294700622558594,38.77608871459961,44.66804504394531,112.79380798339844,47.063316345214844,56.359291076660156,24.032642364501953,64.56709289550781,47.00831604003906,41.300785064697266,82.05724334716797,41.00313186645508,87.16214752197266,45.85457229614258,62.45943069458008,26.497346878051758,82.49166107177734
2020-02-07,64.97769927978516,67.33817291259766,41.35618591308594,119.81937408447266,51.786827087402344,74.55174255371094,40.63199996948242,15.783208847045898,42.716732025146484,51.053733825683594,49.8235969543457,38.41552734375,43.987396240234375,112.66090393066406,47.15005874633789,56.11738204956055,23.866437911987305,64.37501525878906,46.80732345581055,40.94366455078125,81.35631561279297,40.919837951660156,85.87567901611328,45.824031829833984,61.98956298828125,26.48855972290039,80.54586791992188
2020-02-10,65.03239440917969,67.5633316040039,41.35618591308594,121.00247955322266,52.35517120361328,74.84332275390625,40.09181213378906,15.53414535522461,43.28058624267578,51.67988204956055,50.16315841674805,38.6368293762207,44.28120803833008,113.37289428710938,47.62233352661133,56.286712646484375,23.70855140686035,64.69058990478516,46.977867126464844,41.201168060302734,81.79204559326172,41.15190505981445,85.77531433105469,45.849884033203125,62.8387336730957,26.629173278808594,81.67455291748047
2020-02-11,65.35140228271484,68.1217041015625,41.63591003417969,120.94332885742188,53.096920013427734,75.12621307373047,40.480064392089844,15.792437553405762,43.24298095703125,51.59440612792969,50.16315841674805,39.241580963134766,44.67457962036133,113.37763977050781,47.930747985839844,56.87696838378906,23.96615982055664,64.97416687011719,47.1362190246582,41.45867156982422,82.02883911132812,41.15190505981445,86.42310333251953,45.97441101074219,62.67721939086914,26.963138580322266,83.32471466064453
2020-02-12,65.33316802978516,67.84252166748047,41.69523620605469,121.20954132080078,53.53040313720703,75.1479721069336,41.0793342590332,16.124515533447266,43.70060348510742,52.01580810546875,49.7318229675293,40.084781646728516,44.39546203613281,113.8238296508789,47.901832580566406,57.484161376953125,24.298564910888672,65.18912506103516,47.318946838378906,41.54701232910156,82.49771881103516,41.21139144897461,87.06178283691406,46.40673065185547,63.357547760009766,27.051021575927734,84.60922241210938
2020-02-13,65.23294067382812,67.95059204101562,41.94953536987305,120.23344421386719,53.41481018066406,75.91829681396484,40.918975830078125,15.949249267578125,43.649940490722656,52.13905715942383,49.25459289550781,40.069522857666016,44.55706024169922,113.22573852539062,47.97893524169922,57.47690200805664,24.19884490966797,65.3537826538086,47.364627838134766,41.404170989990234,82.35562133789062,41.398834228515625,86.9249267578125,46.35974884033203,63.15442657470703,26.954347610473633,84.6982421875
2020-02-14,65.61573791503906,67.80650329589844,41.746097564697266,120.74615478515625,52.65380096435547,76.44054412841797,40.615108489990234,15.912355422973633,43.7953987121582,52.58034133911133,49.309661865234375,39.76810073852539,45.09080505371094,113.01216125488281,48.08495330810547,57.326904296875,24.08249855041504,65.59618377685547,47.49861145019531,41.48875045776367,82.47877502441406,41.47321319580078,86.84280395507812,45.81698989868164,63.36488342285156,26.796157836914062,84.41526794433594
2020-02-18,65.24202728271484,67.45525360107422,41.1866569519043,120.79544067382812,52.37444305419922,77.05853271484375,40.31126022338867,15.663286209106445,43.78068542480469,52.66780471801758,49.03129196166992,40.0409049987793,44.7349739074707,112.1767578125,47.872920989990234,57.52043914794922,23.89967918395996,65.23487091064453,47.130130767822266,41.37032699584961,82.00514221191406,41.35718536376953,86.73332214355469,45.842830657958984,63.203365325927734,26.752214431762695,83.3310775756836
2020-02-19,65.46077728271484,67.45525360107422,41.500274658203125,121.74193572998047,52.61527633666992,76.30998992919922,41.2565803527832,15.893905639648438,44.207244873046875,53.00770950317383,48.92728042602539,40.3537712097168,45.035301208496094,112.01061248779297,48.065677642822266,57.740577697753906,24.207149505615234,65.4040756225586,47.5321159362793,41.56957244873047,82.2751235961914,41.56246566772461,87.15303802490234,46.190574645996094,63.84208297729492,26.971927642822266,85.4327163696289
