,date,pcr
168,2007-07-09 00:00:00,0.52
169,2007-07-10 00:00:00,0.59
170,2007-07-11 00:00:00,0.57
171,2007-07-12 00:00:00,0.48
172,2007-07-13 00:00:00,0.5
173,2007-07-16 00:00:00,0.54
174,2007-07-17 00:00:00,0.6
175,2007-07-18 00:00:00,0.73
176,2007-07-19 00:00:00,0.54
177,2007-07-20 00:00:00,0.69
178,2007-07-23 00:00:00,0.54
179,2007-07-24 00:00:00,0.79
180,2007-07-25 00:00:00,0.64
181,2007-07-26 00:00:00,0.85
182,2007-07-27 00:00:00,0.77
183,2007-07-30 00:00:00,0.71
184,2007-07-31 00:00:00,0.72
185,2007-08-01 00:00:00,0.87
186,2007-08-02 00:00:00,0.77
187,2007-08-03 00:00:00,0.8
188,2007-08-06 00:00:00,0.84
189,2007-08-07 00:00:00,0.69
190,2007-08-08 00:00:00,0.61
191,2007-08-09 00:00:00,0.65
192,2007-08-10 00:00:00,0.6
193,2007-08-13 00:00:00,0.71
194,2007-08-14 00:00:00,1.06
195,2007-08-15 00:00:00,1.05
196,2007-08-16 00:00:00,1.01
197,2007-08-17 00:00:00,0.74
198,2007-08-20 00:00:00,0.61
199,2007-08-21 00:00:00,0.62
200,2007-08-22 00:00:00,0.62
201,2007-08-23 00:00:00,0.71
202,2007-08-24 00:00:00,0.68
203,2007-08-27 00:00:00,0.68
204,2007-08-28 00:00:00,0.87
205,2007-08-29 00:00:00,0.68
206,2007-08-30 00:00:00,0.65
207,2007-08-31 00:00:00,0.65
208,2007-09-04 00:00:00,0.67
209,2007-09-05 00:00:00,0.72
210,2007-09-06 00:00:00,0.62
211,2007-09-07 00:00:00,0.77
212,2007-09-10 00:00:00,0.78
213,2007-09-11 00:00:00,0.84
214,2007-09-12 00:00:00,0.58
215,2007-09-13 00:00:00,0.61
216,2007-09-14 00:00:00,0.63
217,2007-09-17 00:00:00,0.65
218,2007-09-18 00:00:00,0.69
219,2007-09-19 00:00:00,0.58
220,2007-09-20 00:00:00,0.56
221,2007-09-21 00:00:00,0.53
222,2007-09-24 00:00:00,0.61
223,2007-09-25 00:00:00,0.75
224,2007-09-26 00:00:00,0.6
225,2007-09-27 00:00:00,0.58
226,2007-09-28 00:00:00,0.78
227,2007-10-01 00:00:00,0.57
228,2007-10-02 00:00:00,0.66
229,2007-10-03 00:00:00,0.58
230,2007-10-04 00:00:00,0.5
231,2007-10-05 00:00:00,0.56
232,2007-10-08 00:00:00,0.52
233,2007-10-09 00:00:00,0.61
234,2007-10-10 00:00:00,0.56
235,2007-10-11 00:00:00,0.6
236,2007-10-12 00:00:00,0.56
237,2007-10-15 00:00:00,0.53
238,2007-10-16 00:00:00,0.75
239,2007-10-17 00:00:00,0.67
240,2007-10-18 00:00:00,0.52
241,2007-10-19 00:00:00,0.73
242,2007-10-22 00:00:00,0.66
243,2007-10-23 00:00:00,0.64
244,2007-10-24 00:00:00,0.73
245,2007-10-25 00:00:00,0.76
246,2007-10-26 00:00:00,0.53
247,2007-10-29 00:00:00,0.57
248,2007-10-30 00:00:00,0.84
249,2007-10-31 00:00:00,0.45
250,2007-11-01 00:00:00,0.68
251,2007-11-02 00:00:00,0.7
252,2007-11-05 00:00:00,0.67
253,2007-11-06 00:00:00,0.71
254,2007-11-07 00:00:00,0.67
255,2007-11-08 00:00:00,0.83
256,2007-11-09 00:00:00,0.72
257,2007-11-12 00:00:00,0.59
258,2007-11-13 00:00:00,0.85
259,2007-11-14 00:00:00,0.62
260,2007-11-15 00:00:00,0.8
261,2007-11-16 00:00:00,0.99
262,2007-11-19 00:00:00,0.66
263,2007-11-20 00:00:00,0.79
264,2007-11-21 00:00:00,0.82
265,2007-11-23 00:00:00,0.54
266,2007-11-26 00:00:00,0.7
267,2007-11-27 00:00:00,0.55
268,2007-11-28 00:00:00,0.57
269,2007-11-29 00:00:00,0.59
270,2007-11-30 00:00:00,0.68
271,2007-12-03 00:00:00,0.62
272,2007-12-04 00:00:00,0.87
273,2007-12-05 00:00:00,0.63
274,2007-12-06 00:00:00,0.55
275,2007-12-07 00:00:00,0.6
276,2007-12-10 00:00:00,0.68
277,2007-12-11 00:00:00,0.79
278,2007-12-12 00:00:00,0.68
279,2007-12-13 00:00:00,0.74
280,2007-12-14 00:00:00,0.62
281,2007-12-17 00:00:00,0.64
282,2007-12-18 00:00:00,0.77
283,2007-12-19 00:00:00,0.71
284,2007-12-20 00:00:00,0.42
285,2007-12-21 00:00:00,0.64
286,2007-12-24 00:00:00,0.72
287,2007-12-26 00:00:00,0.66
288,2007-12-27 00:00:00,0.6
289,2007-12-28 00:00:00,0.56
290,2007-12-31 00:00:00,0.67
291,2008-01-02 00:00:00,0.78
292,2008-01-03 00:00:00,0.71
293,2008-01-04 00:00:00,0.61
294,2008-01-07 00:00:00,0.78
295,2008-01-08 00:00:00,0.97
296,2008-01-09 00:00:00,0.75
297,2008-01-10 00:00:00,0.69
298,2008-01-11 00:00:00,0.71
299,2008-01-14 00:00:00,0.7
300,2008-01-15 00:00:00,1.05
301,2008-01-16 00:00:00,0.87
302,2008-01-17 00:00:00,0.99
303,2008-01-18 00:00:00,0.99
304,2008-01-22 00:00:00,0.73
305,2008-01-23 00:00:00,0.75
306,2008-01-24 00:00:00,0.59
307,2008-01-25 00:00:00,0.67
308,2008-01-28 00:00:00,0.64
309,2008-01-29 00:00:00,0.65
310,2008-01-30 00:00:00,0.62
311,2008-01-31 00:00:00,0.7
312,2008-02-01 00:00:00,0.56
313,2008-02-04 00:00:00,0.68
314,2008-02-05 00:00:00,0.94
315,2008-02-06 00:00:00,0.8
316,2008-02-07 00:00:00,0.88
317,2008-02-08 00:00:00,0.79
318,2008-02-11 00:00:00,0.68
319,2008-02-12 00:00:00,0.78
320,2008-02-13 00:00:00,0.75
321,2008-02-14 00:00:00,0.74
322,2008-02-15 00:00:00,0.78
323,2008-02-19 00:00:00,0.67
324,2008-02-20 00:00:00,0.7
